"Hey! Get 10% OFF at %3%1%3 Use my code: %2 to get 10% off on your first purchase. Referral code must be added to the %3Apply a Promo Code%3 field on the checkout page. T&C:","Hallo! Erhalte 10% Rabatt bei %3%1%3 Benutze meinen Gutscheincode: %2 um 10% Rabatt auf deinen ersten Einkauf zu erhalten. Der Empfehlungscode muss in das Feld %3Gutscheincode anwenden%3 auf der Kassenseite eingegeben werden. GESCHÄFTSBEDINGUNGEN:"
"Referral code","Empfehlungscode"
"Referral code used %1/5 times","Empfehlungscode %1/5 mal verwendet"
"Enroll Now","Jetzt einschreiben"
"Earned commission","Verdiente Provision"
"Order","Bestellung"
"Date","Datum"
"Order by","Bestellen nach"
"Discount code","Rabatt-Code"
"Commission","Kommission"
"Use before","Verwendung vor"
"Is used","Wird verwendet"
"Available after order completes","Verfügbar nach Abschluss der Bestellung"
"Yes","Ja"
"No","Nein"
"Refer & Earn","Empfehlen & Verdienen"
"Give %1, get %2!","%1 geben, %2 bekommen"
"Give friends %1 off their first order and you'll get %2 of their purchase in commission.","Schenken Sie Freunden %1 Rabatt auf ihre erste Bestellung und Sie erhalten %2 wenn Sie einen Einkauf tätigen."
"Email will be sent from:","Die E-Mail wird gesendet von:"
"Email Addresses","E-Mail-Adressen"
"Email addresses comma separated.","E-Mail-Adressen durch Komma getrennt."
"Share referral coupon","Empfehlungsgutschein teilen"
"Share","Teilen Sie"
"Thank you for your order %1!","Vielen Dank für Ihre Bestellung %1!"
"Email will be sent from: %1","Die E-Mail wird gesendet von: %1"
"Send Email","E-Mail senden"
"Your Referral Commission Has Arrived","Deine Empfehlungsprovision ist da"
"Hey!","Hallo!"
"Someone has made a purchase using your referral code.","Jemand hat mit deinem Empfehlungscode einen Kauf getätigt."
"Your Commission Code:","Dein Provisionscode:"
"Your Commission Amount:","Dein Provisionsbetrag:"
"Your earned commission will be available under the “My Account-> My Referral Program” section.","Deine verdiente Provision ist unter “Mein Konto-> Mein Empfehlungsprogramm” einsehbar."
"The earned commission code must be used on the checkout page, on the “Apply a Promo Code” field using the coupon code. Commission can be combined with other discounts.","Der verdiente Provisionscode muss auf der Kassenseite im Feld “Promo-Code anwenden” mit dem Gutscheincode verwendet werden. Die Provision kann mit anderen Rabatten kombiniert werden."
"Earned commission must be used within one year of the date that you received it.","Verdiente Provisionen müssen innerhalb eines Jahres nach dem Datum, an dem du sie erhalten hast, verwendet werden."
"Terms & Conditions","Geschäftsbedingungen"
"Hey! Get 10% OFF at <a style=""color: #6fc500;"" href=""%baseUrl"">Tvape</a>, use my referral code <b>%templateVar</b> to get %refAmt off on your first purchase. Referral code must be added to the “Apply a Promo Code” field on the checkout page.","Hallo! Erhalte 10% Rabatt bei <a style=""color: #6fc500;"" href=""%baseUrl"">Tvape</a>. Verwende meinen Empfehlungscode <b>%templateVar</b>, um %refAmt Rabatt auf deinen ersten Einkauf zu bekommen. Der Empfehlungscode muss in das Feld "Promo-Code anwenden" auf der Kassenseite eingegeben werden."
"Referral Code:","Empfehlungscode:"
"%customerName invited you to get %refAmt off on Tvape","%customerName hat dich eingeladen, %refAmt Rabatt bei Tvape zu bekommen"
"Refer More, Earn More!","Mehr empfehlen, mehr verdienen!"
"Referral enrollment program","Programm für Empfehlungsanmeldungen"
"Give %refAmt, Get %comAmt","%refAmt geben, %comAmt bekommen"
"Refer a Friend and earn %comAmt<br>of their purchase","Empfehle einen Freund und erhalte einen Rabatt von %comAmt<br>auf seinen Einkauf"
"Share this Coupon Code","Teile diesen Gutscheincode"
"Free Shipping","Kostenloser Versand"
"30 day return","30 Tage Rückgaberecht"
"Hassle-Free Warranty","Problemlose Garantie"
"Please add us to your email contacts to keep receiving new updates from us.","Bitte füge uns zu deinen E-Mail-Kontakten hinzu, um regelmäßig neue Updates von uns zu erhalten."